Societe,Statement,Cle_indicateur,Date,Nb_occurrences,Valeurs,Indicateur
AB inBev,Inconnu,produitscoutsfinanciersnets,2024-12-31,3,4358 | -4358 | -2.18,(Produits)/coûts financiers nets
AB inBev,Inconnu,produitscoutsfinanciersnets,2025-12-31,3,4280 | -4280 | -2.16,(Produits)/coûts financiers nets
AB inBev,Inconnu,ajustementalavaleurdemarchecouverturedenosprogrammesdepaiementsfondessurdesactions,2018-12-31,2,-0.9 | 0.9,Ajustement à la valeur de marché (couverture de nos programmes de paiements fondés sur des actions)
AB inBev,Inconnu,ajustementalavaleurdemarchecouverturedenosprogrammesdepaiementsfondessurdesactions,2019-12-31,2,0.45 | -0.45,Ajustement à la valeur de marché (couverture de nos programmes de paiements fondés sur des actions)
AB inBev,Inconnu,ajustementalavaleurdemarchecouverturedenosprogrammesdepaiementsfondessurdesactions,2020-12-31,2,-0.61 | 0.61,Ajustement à la valeur de marché (couverture de nos programmes de paiements fondés sur des actions)
AB inBev,Inconnu,ajustementalavaleurdemarchecouverturedenosprogrammesdepaiementsfondessurdesactions,2021-12-31,2,-0.01 | 0.01,Ajustement à la valeur de marché (couverture de nos programmes de paiements fondés sur des actions)
AB inBev,Inconnu,avantagesaupersonnel,2015-12-31,2,2 | 2725,Avantages au personnel
AB inBev,Inconnu,benefice,2018-12-31,2,5688 | 5691,Bénéfice
AB inBev,Inconnu,beneficeattribuableauxporteursdescapitauxpropresdabinbev,2018-12-31,2,4370 | 4368,Bénéfice attribuable aux porteurs des capitaux propres d'AB InBev
AB inBev,Inconnu,beneficedesactivitesabandonnees,2016-12-31,2,48 | -48,Bénéfice des activités abandonnées
AB inBev,Inconnu,beneficedesactivitesabandonnees,2017-12-31,2,28 | -28,Bénéfice des activités abandonnées
AB inBev,Inconnu,beneficedesactivitesabandonnees,2018-12-31,2,531 | -531,Bénéfice des activités abandonnées
AB inBev,Inconnu,beneficedesactivitesabandonnees,2019-12-31,2,424 | -424,Bénéfice des activités abandonnées
AB inBev,Inconnu,beneficedesactivitesabandonneesrecurrentetnonrecurrent,2019-12-31,2,-424 | -0.21,Bénéfice des activités abandonnées (récurrent et non-récurrent)
